Time,Channel A
(s),(V)

178.13342226,-0.01867733
178.20008896,-0.02032533
178.26675566,-0.02002014
178.33342236,-0.01788385
178.40008906,-0.02063051
178.46675576,-0.02337718
178.53342246,-0.02032533
178.60008916,-0.02288888
178.66675586,-0.02191229
178.73342256,-0.01953185
178.80008925,-0.02032533
178.86675595,-0.02270577
178.93342265,-0.01739555
179.00008935,-0.02044740
179.06675605,-0.01995911
179.13342275,-0.02075259
179.20008945,-0.02038636
179.26675615,-0.02301096
179.33342285,-0.01715140
179.40008955,-0.01995911
179.46675625,-0.02093570
179.53342295,-0.02264473
179.60008965,-0.02117985
179.66675635,-0.02154607
179.73342305,-0.01879940
179.80008975,-0.02008118
179.86675645,-0.02075259
179.93342315,-0.01654103
180.00008985,-0.01867733
180.06675655,-0.01947081
180.13342325,-0.01715140
180.20008995,-0.01892148
180.26675665,-0.02130192
180.33342335,-0.01751762
180.40009005,-0.01763970
180.46675675,-0.02020325
180.53342345,-0.01654103
180.60009015,-0.01617481
180.66675685,-0.01660207
180.73342355,-0.01623585
180.80009025,-0.01599170
180.86675695,-0.01837214
180.93342365,-0.01629688
181.00009035,-0.01727348
181.06675705,-0.01818903
181.13342375,-0.01580859
181.20009045,-0.01568651
181.26675715,-0.01733451
181.33342385,-0.01538133
181.40009055,-0.01654103
181.46675725,-0.01831111
181.53342395,-0.01586962
181.60009065,-0.01312296
181.66675735,-0.01788385
181.73342405,-0.01599170
181.80009075,-0.01837214
181.86675745,-0.01586962
181.93342415,-0.01623585
182.00009085,-0.01379437
182.06675755,-0.02069155
182.13342425,-0.01641896
182.20009095,-0.01422163
182.26675765,-0.01873836
182.33342435,-0.01623585
182.40009105,-0.01599170
182.46675775,-0.01757866
182.53342445,-0.01648000
182.60009115,-0.01312296
182.66675785,-0.01879940
182.73342455,-0.01550340
182.80009125,-0.01257363
182.86675795,-0.01721244
182.93342465,-0.01739555
183.00009135,-0.01538133
183.06675805,-0.01818903
183.13342475,-0.01794488
183.20009145,-0.01489303
183.26675815,-0.01867733
183.33342485,-0.01580859
183.40009155,-0.01507614
183.46675825,-0.01806696
183.53342495,-0.01831111
183.60009165,-0.01611377
183.66675835,-0.01855525
183.73342505,-0.01855525
183.80009175,-0.01666311
183.86675845,-0.01812799
183.93342515,-0.01886044
184.00009185,-0.01794488
184.06675855,-0.01715140
184.13342525,-0.02093570
184.20009195,-0.01611377
184.26675865,-0.01886044
184.33342535,-0.01983703
184.40009205,-0.02136296
184.46675875,-0.01886044
184.53342545,-0.01995911
184.60009215,-0.01788385
184.66675885,-0.01831111
184.73342555,-0.02105777
184.80009225,-0.01739555
184.86675895,-0.01806696
184.93342565,-0.02179022
185.00009235,-0.01776177
185.06675905,-0.01904355
185.13342575,-0.02307199
185.20009245,-0.01757866
185.26675915,-0.02002014
185.33342585,-0.01995911
185.40009255,-0.01989807
185.46675925,-0.01947081
185.53342595,-0.02069155
185.60009265,-0.02026429
185.66675935,-0.02093570
185.73342605,-0.02227851
185.80009275,-0.02002014
185.86675945,-0.02191229
185.93342615,-0.02264473
186.00009285,-0.01959288
186.06675955,-0.01879940
186.13342625,-0.02191229
186.20009295,-0.02069155
186.26675965,-0.02215644
186.33342635,-0.02386547
